Westmount,197561,westmount,Westmount,66032,16,"[{'name': None, 'type': 'bar'}, {'name': 'Miso', 'type': 'restaurant'}, {'name': 'Imadake', 'type': 'restaurant'}, {'name': 'Calories', 'type': 'restaurant'}, {'name': 'Kaizen Sushi Bar & Restaurant', 'type': 'restaurant'}, {'name': 'Petros', 'type': 'restaurant'}, {'name': 'Vago', 'type': 'restaurant'}, {'name': 'Lavanderia', 'type': 'restaurant'}, {'name': None, 'type': 'restaurant'}, {'name': 'Park', 'type': 'restaurant'}, {'name': 'Ryú', 'type': 'restaurant'}, {'name': 'Café Bazin', 'type': 'restaurant'}, {'name': 'Guilt and Ivy', 'type': 'restaurant'}, {'name': 'Shanghai Grill', 'type': 'restaurant'}, {'name': 'cafe olympico', 'type': 'restaurant'}, {'name': 'Cafe Renan', 'type': 'restaurant'}]"
Dorval,197562,dorval,Dorval,66087,47,"[{'name': ""Salon feuille d'érable"", 'type': 'bar'}, {'name': 'Ubar', 'type': 'bar'}, {'name': ""Salon feuille d'érable"", 'type': 'bar'}, {'name': 'Air France-KLM Lounge', 'type': 'bar'}, {'name': ""Duffy's"", 'type': 'bar'}, {'name': 'Bistro Trudeau', 'type': 'bar'}, {'name': 'Bistrot Trudeau', 'type': 'bar'}, {'name': 'Pub John Molson', 'type': 'bar'}, {'name': 'Ice Bar', 'type': 'bar'}, {'name': 'Bar à vin LGC', 'type': 'bar'}, {'name': 'Hurleys', 'type': 'bar'}, {'name': 'Jockey Taverne Racee', 'type': 'bar'}, {'name': ""Jack Astor's"", 'type': 'restaurant'}, {'name': 'Bijou Resto Bar', 'type': 'restaurant'}, {'name': 'Natalino', 'type': 'restaurant'}, {'name': 'Restaurant Emeraude De Bangkok', 'type': 'restaurant'}, {'name': 'Houston Steaks & Côtes Levées', 'type': 'restaurant'}, {'name': 'Bellissimo', 'type': 'restaurant'}, {'name': 'Salon Banque Nationale', 'type': 'restaurant'}, {'name': 'St-Hubert', 'type': 'restaurant'}, {'name': 'Six Pints', 'type': 'restaurant'}, {'name': 'Pork & Pickle', 'type': 'restaurant'}, {'name': ""L'Auberge Saint-Gabriel"", 'type': 'restaurant'}, {'name': 'Eggspress', 'type': 'restaurant'}, {'name': 'Scores', 'type': 'restaurant'}, {'name': 'Urban Crave', 'type': 'restaurant'}, {'name': 'Baéro', 'type': 'restaurant'}, {'name': 'Camden Food', 'type': 'restaurant'}, {'name': 'Paramount Fine Foods', 'type': 'restaurant'}, {'name': 'Lesters Deli Express', 'type': 'restaurant'}, {'name': 'Delish', 'type': 'restaurant'}, {'name': '40 West Steakhouse', 'type': 'restaurant'}, {'name': 'Le Vieux Dorval', 'type': 'restaurant'}, {'name': ""Carlos Pepe's"", 'type': 'restaurant'}, {'name': 'Le Poke Station', 'type': 'restaurant'}, {'name': 'Oeuffruits', 'type': 'restaurant'}, {'name': 'De Mangione', 'type': 'restaurant'}, {'name': ""Chow's"", 'type': 'restaurant'}, {'name': 'Pizza Hut', 'type': 'restaurant'}, {'name': 'T&M Sushi Bar', 'type': 'restaurant'}, {'name': 'Burger Town', 'type': 'restaurant'}, {'name': 'Ora', 'type': 'restaurant'}, {'name': 'Sahib Indian Restaurant', 'type': 'restaurant'}, {'name': 'Restaurant Bar Focaccio', 'type': 'restaurant'}, {'name': 'Archibald', 'type': 'pub'}, {'name': 'Hurleys À Yul', 'type': 'pub'}, {'name': 'Macallans Pub', 'type': 'pub'}]"
Mont-Royal,197567,montroyal,Mont-Royal,66072,23,"[{'name': 'Ben & Florentine', 'type': 'restaurant'}, {'name': 'Dupont et Dupond', 'type': 'restaurant'}, {'name': 'La Pizzaïole', 'type': 'restaurant'}, {'name': 'Sakana', 'type': 'restaurant'}, {'name': 'Restaurant portugais Galo', 'type': 'restaurant'}, {'name': 'Hinata', 'type': 'restaurant'}, {'name': 'La Sirène de la Mer', 'type': 'restaurant'}, {'name': 'Pannizza', 'type': 'restaurant'}, {'name': 'Pizza Hut', 'type': 'restaurant'}, {'name': 'Villa Armando', 'type': 'restaurant'}, {'name': ""Abe & Mary's - TMR"", 'type': 'restaurant'}, {'name': 'Mikado GO', 'type': 'restaurant'}, {'name': 'Bacaro Pizzeria', 'type': 'restaurant'}, {'name': 'Copper Branch', 'type': 'restaurant'}, {'name': 'Bar Otto', 'type': 'restaurant'}, {'name': 'Identity Steak House', 'type': 'restaurant'}, {'name': 'Poke Station', 'type': 'restaurant'}, {'name': 'Poulet Rouge', 'type': 'restaurant'}, {'name': 'Ganadara', 'type': 'restaurant'}, {'name': 'Sammi & Soupe Dumpling', 'type': 'restaurant'}, {'name': 'Sensotei', 'type': 'restaurant'}, {'name': 'Qwelli', 'type': 'restaurant'}, {'name': 'Le Fou Fou', 'type': 'restaurant'}]"
Hampstead,197569,hampstead,Hampstead,66062,0,[]
Pointe-Claire,197576,pointeclaire,Pointe-Claire,66097,41,"[{'name': 'Brasserie le Manoir', 'type': 'bar'}, {'name': 'Hymus Bar', 'type': 'bar'}, {'name': 'Brasserie Village', 'type': 'bar'}, {'name': 'Piazza Romana', 'type': 'restaurant'}, {'name': 'Bar-B-Barn', 'type': 'restaurant'}, {'name': 'Scores', 'type': 'restaurant'}, {'name': 'Kanda Sushi', 'type': 'restaurant'}, {'name': 'Le Chambertin', 'type': 'restaurant'}, {'name': 'Cora', 'type': 'restaurant'}, {'name': ""L'Académie"", 'type': 'restaurant'}, {'name': '3 Amigos West Island', 'type': 'restaurant'}, {'name': 'The Keg', 'type': 'restaurant'}, {'name': 'Restaurant Sahib', 'type': 'restaurant'}, {'name': ""Scarolie's"", 'type': 'restaurant'}, {'name': 'Le Gourmand', 'type': 'restaurant'}, {'name': 'M. Épicé', 'type': 'restaurant'}, {'name': 'Notre-Beouf-De-Grace', 'type': 'restaurant'}, {'name': 'Milestones', 'type': 'restaurant'}, {'name': ""Moe's"", 'type': 'restaurant'}, {'name': 'Kinton Ramen', 'type': 'restaurant'}, {'name': 'Copper Branch', 'type': 'restaurant'}, {'name': 'Sushi Hin', 'type': 'restaurant'}, {'name': ""Lucille's"", 'type': 'restaurant'}, {'name': ""Dizz's Bagel"", 'type': 'restaurant'}, {'name': 'West Island Noodles', 'type': 'restaurant'}, {'name': '3 Brasseurs', 'type': 'restaurant'}, {'name': 'Arahova', 'type': 'restaurant'}, {'name': 'Allô! Mon Coco', 'type': 'restaurant'}, {'name': 'Cafe Milano', 'type': 'restaurant'}, {'name': 'Hoshi', 'type': 'restaurant'}, {'name': 'Restaurant Imperial', 'type': 'restaurant'}, {'name': '40 Westt', 'type': 'restaurant'}, {'name': 'Madame Poulet', 'type': 'restaurant'}, {'name': 'Seau de Crabbe', 'type': 'restaurant'}, {'name': 'Katoreya', 'type': 'restaurant'}, {'name': 'Le Quartier du Dejuner', 'type': 'restaurant'}, {'name': 'Wok Express', 'type': 'restaurant'}, {'name': ""Lou's"", 'type': 'restaurant'}, {'name': 'Avocado', 'type': 'restaurant'}, {'name': ""McKibbin's Irish Pub"", 'type': 'pub'}, {'name': 'Ye Olde Orchard', 'type': 'pub'}]"
Kirkland,197577,kirkland,Kirkland,66102,22,"[{'name': 'St-Hubert', 'type': 'restaurant'}, {'name': 'Mikes', 'type': 'restaurant'}, {'name': 'Rockaberry', 'type': 'restaurant'}, {'name': 'Pizza Hut', 'type': 'restaurant'}, {'name': 'Wok Cafe', 'type': 'restaurant'}, {'name': 'Ben & Florentine', 'type': 'restaurant'}, {'name': 'La Serenata', 'type': 'restaurant'}, {'name': 'Hanami', 'type': 'restaurant'}, {'name': 'Cora', 'type': 'restaurant'}, {'name': 'Maurizio', 'type': 'restaurant'}, {'name': 'Grill Sélect', 'type': 'restaurant'}, {'name': 'Kojax Souflaki', 'type': 'restaurant'}, {'name': 'Sushi Yuu', 'type': 'restaurant'}, {'name': 'Poke Monster', 'type': 'restaurant'}, {'name': 'Allô Mon Coco', 'type': 'restaurant'}, {'name': 'Aya', 'type': 'restaurant'}, {'name': 'Chef Veganessa', 'type': 'restaurant'}, {'name': 'Mundo Trattoria', 'type': 'restaurant'}, {'name': 'Sushi Sama', 'type': 'restaurant'}, {'name': 'Mala Express', 'type': 'restaurant'}, {'name': 'La Vieux Four Manago', 'type': 'restaurant'}, {'name': 'Oko Sushi', 'type': 'restaurant'}]"
Beaconsfield,197578,beaconsfield,Beaconsfield,66107,5,"[{'name': 'Cuisine Xiao', 'type': 'restaurant'}, {'name': 'Dagwoods', 'type': 'restaurant'}, {'name': ""Tissy's Bistro"", 'type': 'restaurant'}, {'name': 'Pizzeria Casa Rita', 'type': 'restaurant'}, {'name': ""Duke & Devine's"", 'type': 'pub'}]"
Baie-D'Urfé,197579,baiedurfe,Baie-D'Urfé,66112,0,[]
Sainte-Anne-de-Bellevue,197580,sainteannedebellevue,Sainte-Anne-de-Bellevue,66117,18,"[{'name': 'Phoenix', 'type': 'bar'}, {'name': 'Pub Cousi', 'type': 'bar'}, {'name': 'Dundees Deli & Bar', 'type': 'restaurant'}, {'name': 'Le Surcouf', 'type': 'restaurant'}, {'name': 'Annies', 'type': 'restaurant'}, {'name': 'Tandoori Bellevue', 'type': 'restaurant'}, {'name': ""Restaurant Peter's Cape Cod"", 'type': 'restaurant'}, {'name': 'Basile', 'type': 'restaurant'}, {'name': 'Casamigos', 'type': 'restaurant'}, {'name': 'Violet Angel Restaurant', 'type': 'restaurant'}, {'name': 'Olé Tapas', 'type': 'restaurant'}, {'name': 'Bellevue Resto-Grill', 'type': 'restaurant'}, {'name': 'Klondike Premium Smokehouse', 'type': 'restaurant'}, {'name': ""Do'licieux"", 'type': 'restaurant'}, {'name': 'Chalet Thaï', 'type': 'restaurant'}, {'name': 'La Fondue Du Prince', 'type': 'restaurant'}, {'name': ""Resto Pub Bord'Eaux"", 'type': 'restaurant'}, {'name': 'Cunninghams Pub', 'type': 'pub'}]"
Senneville,197583,senneville,Senneville,66127,0,[]
