nom,id,nom,match,"﻿""mcode"""
Westmount,3600197561,westmount,Westmount,66032
Dorval,3600197562,dorval,Dorval,66087
Mont-Royal,3600197567,montroyal,Mont-Royal,66072
Hampstead,3600197569,hampstead,Hampstead,66062
Pointe-Claire,3600197576,pointeclaire,Pointe-Claire,66097
Kirkland,3600197577,kirkland,Kirkland,66102
Beaconsfield,3600197578,beaconsfield,Beaconsfield,66107
Baie-D'Urfé,3600197579,baiedurfe,Baie-D'Urfé,66112
Sainte-Anne-de-Bellevue,3600197580,sainteannedebellevue,Sainte-Anne-de-Bellevue,66117
Senneville,3600197583,senneville,Senneville,66127
Dollard-des-Ormeaux,3600197601,dollarddesormeaux,Dollard-des-Ormeaux,66142
Laval,3601438336,laval,Laval,65005
Nominingue,3601490833,nominingue,Nominingue,79030
Notre-Dame-du-Laus,3601490834,notredamedulaus,Notre-Dame-du-Laus,79005
Lac-Bazinet,3601490835,lacbazinet,Lac-Bazinet,79910
Lac-Ernest,3601490836,lacernest,Lac-Ernest,79924
Mont-Laurier,3601490837,montlaurier,Mont-Laurier,79088
Lac-Douaire,3601490838,lacdouaire,Lac-Douaire,79922
Rivière-Rouge,3601490839,riviererouge,Rivière-Rouge,79037
Lac-Marguerite,3601490840,lacmarguerite,Lac-Marguerite,79926
Lac-de-la-Maison-de-Pierre,3601490841,lacdelamaisondepierre,Lac-de-la-Maison-de-Pierre,79916
Notre-Dame-de-Pontmain,3601490843,notredamedepontmain,Notre-Dame-de-Pontmain,79010
Lac-de-la-Pomme,3601490844,lacdelapomme,Lac-de-la-Pomme,79902
Ferme-Neuve,3601490845,fermeneuve,Ferme-Neuve,79097
Baie-des-Chaloupes,3601490846,baiedeschaloupes,Baie-des-Chaloupes,79920
Lac-Oscar,3601490847,lacoscar,Lac-Oscar,79914
Lac-De La Bidière,3601490848,lacdelabidiere,Lac-De La Bidière,79912
La Macaza,3601490849,lamacaza,La Macaza,79047
Lac-Akonapwehikan,3601490858,lacakonapwehikan,Lac-Akonapwehikan,79904
Noyan,3601600477,noyan,Noyan,56015
Saint-Armand,3601600478,saintarmand,Saint-Armand,46017
Saint-Blaise-sur-Richelieu,3601600479,saintblaisesurrichelieu,Saint-Blaise-sur-Richelieu,56065
Venise-en-Québec,3601600480,veniseenquebec,Venise-en-Québec,56005
Henryville,3601600481,henryville,Henryville,56042
Saint-Paul-de-l'Île-aux-Noix,3601600482,saintpauldelileauxnoix,Saint-Paul-de-l'Île-aux-Noix,56035
Lacolle,3601600483,lacolle,Lacolle,56023
Saint-Jean-sur-Richelieu,3601600484,saintjeansurrichelieu,Saint-Jean-sur-Richelieu,56083
Sainte-Anne-de-Sabrevois,3601600485,sainteannedesabrevois,Sainte-Anne-de-Sabrevois,56060
Clarenceville,3601600486,clarenceville,Clarenceville,56010
Montréal,3601634158,montreal,Montréal,66023
Montréal-Est,3601634159,montrealest,Montréal-Est,66007
Québec,3602319206,quebec,Québec,23027
Deux-Montagnes,3602798489,deuxmontagnes,Deux-Montagnes,72010
Brossard,3602812764,brossard,Brossard,58007
L'Île-Dorval,3603421685,liledorval,L'Île-Dorval,66092
Gatineau,3605356213,gatineau,Gatineau,81017
Côte-Saint-Luc,3605361655,cotesaintluc,Côte-Saint-Luc,66058
Sherbrooke,3605915931,sherbrooke,Sherbrooke,43027
Oka,3606451177,oka,Oka,72032
Paroisse Sainte-Gertrude,3606854299,paroissesaintegertrude,#N/A,#N/A
Longueuil,3606948543,longueuil,Longueuil,58227
Boucherville,3606948557,boucherville,Boucherville,58033
Montréal-Ouest,3607022381,montrealouest,Montréal-Ouest,66047
Gracefield,3607041000,gracefield,Gracefield,83032
Sainte-Thérèse-de-la-Gatineau,3607041001,saintetheresedelagatineau,Sainte-Thérèse-de-la-Gatineau,83055
Blue Sea,3607041002,bluesea,Blue Sea,83045
Bouchette,3607041003,bouchette,Bouchette,83050
Messines,3607041004,messines,Messines,83060
Cayamant,3607041005,cayamant,Cayamant,83040
Cantley,3607041122,cantley,Cantley,82020
Val-des-Monts,3607041289,valdesmonts,Val-des-Monts,82015
Pontiac,3607041343,pontiac,Pontiac,82030
Bristol,3607041406,bristol,Bristol,84005
Clarendon,3607041407,clarendon,Clarendon,84015
Portage-du-Fort,3607041555,portagedufort,Portage-du-Fort,84020
Campbell's Bay,3607041641,campbellsbay,Campbell's Bay,84030
Bryson,3607041642,bryson,Bryson,84025
Litchfield,3607041643,litchfield,Litchfield,84040
L'Île-du-Grand-Calumet,3607041732,liledugrandcalumet,L'Île-du-Grand-Calumet,84035
Thorne,3607041801,thorne,Thorne,84045
Saint-Bruno-de-Montarville,3607042081,saintbrunodemontarville,Saint-Bruno-de-Montarville,58037
Mansfield-et-Pontefract,3607045161,mansfieldetpontefract,Mansfield-et-Pontefract,84065
Otter Lake,3607045223,otterlake,Otter Lake,84055
L'Isle-aux-Allumettes,3607045475,lisleauxallumettes,L'Isle-aux-Allumettes,84082
Chichester,3607045476,chichester,Chichester,84090
Waltham,3607045477,waltham,Waltham,84070
Sheenboro,3607045546,sheenboro,Sheenboro,84095
La Pêche,3607045685,lapeche,La Pêche,82035
Chelsea,3607045744,chelsea,Chelsea,82025
Denholm,3607045906,denholm,Denholm,83005
Low,3607045907,low,Low,83010
Kazabazua,3607045908,kazabazua,Kazabazua,83015
Lac-Sainte-Marie,3607045909,lacsaintemarie,Lac-Sainte-Marie,83020
Alleyn-et-Cawood,3607045910,alleynetcawood,Alleyn-et-Cawood,84050
Tioweró:ton / Doncaster,3607064822,doncaster,Doncaster,78802
Kahnawà:ke,3607064823,kahnawake,Kahnawake,67802
Rapides-des-Joachims,3607351757,rapidesdesjoachims,Rapides-des-Joachims,84100
Montcerf-Lytton,3607357977,montcerflytton,Montcerf-Lytton,83088
Egan-Sud,3607357978,egansud,Egan-Sud,83075
Maniwaki,3607357979,maniwaki,Maniwaki,83065
Bois-Franc,3607358185,boisfranc,Bois-Franc,83085
Grand-Remous,3607358186,grandremous,Grand-Remous,83095
Aumond,3607358187,aumond,Aumond,83090
Déléage,3607358188,deleage,Déléage,83070
Senneterre (ville),3607359770,senneterre,Senneterre,89045
Val-d'Or,3607359771,valdor,Val-d'Or,89008
Obedjiwan,3607359864,obedjiwan,Obedjiwan,90804
Wemotaci,3607359865,wemotaci,Wemotaci,90802
La Tuque,3607359866,latuque,La Tuque,90012
Belcourt,3607359892,belcourt,Belcourt,89050
Champneuf,3607359893,champneuf,Champneuf,88005
La Corne,3607360008,lacorne,La Corne,88030
Landrienne,3607360009,landrienne,Landrienne,88035
Barraute,3607360010,barraute,Barraute,88022
Malartic,3607360108,malartic,Malartic,89015
Rivière-Héva,3607360109,riviereheva,Rivière-Héva,89010
