nom,id
Westmount,3600197561
Dorval,3600197562
Mont-Royal,3600197567
Hampstead,3600197569
Pointe-Claire,3600197576
Kirkland,3600197577
Beaconsfield,3600197578
Baie-D'Urfé,3600197579
Sainte-Anne-de-Bellevue,3600197580
Senneville,3600197583
Dollard-des-Ormeaux,3600197601
Laval,3601438336
Nominingue,3601490833
Notre-Dame-du-Laus,3601490834
Lac-Bazinet,3601490835
Lac-Ernest,3601490836
Mont-Laurier,3601490837
Lac-Douaire,3601490838
Rivière-Rouge,3601490839
Lac-Marguerite,3601490840
Lac-de-la-Maison-de-Pierre,3601490841
Notre-Dame-de-Pontmain,3601490843
Lac-de-la-Pomme,3601490844
Ferme-Neuve,3601490845
Baie-des-Chaloupes,3601490846
Lac-Oscar,3601490847
Lac-De La Bidière,3601490848
La Macaza,3601490849
Lac-Akonapwehikan,3601490858
Noyan,3601600477
Saint-Armand,3601600478
Saint-Blaise-sur-Richelieu,3601600479
Venise-en-Québec,3601600480
Henryville,3601600481
Saint-Paul-de-l'Île-aux-Noix,3601600482
Lacolle,3601600483
Saint-Jean-sur-Richelieu,3601600484
Sainte-Anne-de-Sabrevois,3601600485
Clarenceville,3601600486
Montréal,3601634158
Montréal-Est,3601634159
Québec,3602319206
Deux-Montagnes,3602798489
Brossard,3602812764
L'Île-Dorval,3603421685
Gatineau,3605356213
Côte-Saint-Luc,3605361655
Sherbrooke,3605915931
Oka,3606451177
Paroisse Sainte-Gertrude,3606854299
Longueuil,3606948543
Boucherville,3606948557
Montréal-Ouest,3607022381
Gracefield,3607041000
Sainte-Thérèse-de-la-Gatineau,3607041001
Blue Sea,3607041002
Bouchette,3607041003
Messines,3607041004
Cayamant,3607041005
Cantley,3607041122
Val-des-Monts,3607041289
Pontiac,3607041343
Bristol,3607041406
Clarendon,3607041407
Portage-du-Fort,3607041555
Campbell's Bay,3607041641
Bryson,3607041642
Litchfield,3607041643
L'Île-du-Grand-Calumet,3607041732
Thorne,3607041801
Saint-Bruno-de-Montarville,3607042081
Mansfield-et-Pontefract,3607045161
Otter Lake,3607045223
L'Isle-aux-Allumettes,3607045475
Chichester,3607045476
Waltham,3607045477
Sheenboro,3607045546
La Pêche,3607045685
Chelsea,3607045744
Denholm,3607045906
Low,3607045907
Kazabazua,3607045908
Lac-Sainte-Marie,3607045909
Alleyn-et-Cawood,3607045910
Tioweró:ton / Doncaster,3607064822
Kahnawà:ke,3607064823
Rapides-des-Joachims,3607351757
Montcerf-Lytton,3607357977
Egan-Sud,3607357978
Maniwaki,3607357979
Bois-Franc,3607358185
Grand-Remous,3607358186
Aumond,3607358187
Déléage,3607358188
Senneterre (ville),3607359770
Val-d'Or,3607359771
Obedjiwan,3607359864
Wemotaci,3607359865
La Tuque,3607359866
Belcourt,3607359892
Champneuf,3607359893
La Corne,3607360008
Landrienne,3607360009
Barraute,3607360010
Malartic,3607360108
Rivière-Héva,3607360109
La Motte,3607360110
Preissac,3607360111
Rouyn-Noranda,3607360112
Taschereau,3607360198
Authier,3607360199
Sainte-Germaine-Boulé,3607360200
Poularies,3607360201
Palmarolle,3607360202
Gallichan,3607360203
Roquemaure,3607360204
Rapide-Danseur,3607360205
Duparquet,3607360206
Saint-Marc-de-Figuery,3607360325
Saint-Mathieu-d'Harricana,3607360326
Sainte-Gertrude-Manneville,3607360327
Trécesson,3607360328
Launay,3607360329
Berry,3607360330
Authier-Nord,3607360331
Saint-Dominique-du-Rosaire,3607360337
Sainte-Anne-du-Lac,3607360361
Lac-Saint-Paul,3607360492
Mont-Saint-Michel,3607360493
Lac-Saguay,3607360511
Lac-des-Écorces,3607360512
Chute-Saint-Philippe,3607360513
L'Ascension,3607361694
Kiamika,3607361739
Duhamel,3607361793
Bowman,3607361798
Val-des-Bois,3607361939
Lac-Simon,3607362049
Montpellier,3607362050
Lac-du-Cerf,3607362266
Saint-Aimé-du-Lac-des-Îles,3607362282
Lac-Tremblant-Nord,3607362392
La Minerve,3607362393
Labelle,3607362394
Mont-Tremblant,3607362395
Brébeuf,3607362396
La Conception,3607362397
Amherst,3607362398
Lac-des-Plages,3607362399
Lac-Supérieur,3607362415
Wôlinak,3607403823
East Hawkesbury,3607426623
Wolastoqiyik Wahsipekuk,3607516050
Lac-Simon,3607526846
Ripon,3607547231
Mulgrave-et-Derry,3607547232
Mayo,3607547233
L'Ange-Gardien,3607547234
Saint-Sixte,3607549954
Lochaber,3607549955
Thurso,3607549956
Lochaber-Partie-Ouest,3607549957
Notre-Dame-de-la-Salette,3607570624
Coucoucache,3607570636
Boileau,3607572122
Fassett,3607572123
Notre-Dame-de-Bonsecours,3607572124
Montebello,3607572125
Saint-Émile-de-Suffolk,3607572126
Namur,3607572127
Notre-Dame-de-la-Paix,3607572128
Chénéville,3607572129
Saint-André-Avellin,3607572130
Papineauville,3607572131
Plaisance,3607572132
Unorganized West Timiskaming,3607588066
McGarry Township,3607588073
Kanata,3607657290
Lac-Duparquet,3607678914
Val-Morin,3607692496
Val-David,3607692497
Sainte-Lucie-des-Laurentides,3607692498
Lantier,3607692499
Val-des-Lacs,3607692500
Huberdeau,3607692501
Arundel,3607692502
Montcalm,3607692503
Mont-Blanc,3607692504
Ivry-sur-le-Lac,3607692505
Sainte-Agathe-des-Monts,3607692507
Barkmere,3607692508
Notre-Dame-de-l'Île-Perrot,3607696234
L'Île-Perrot,3607696235
Pincourt,3607696236
Terrasse-Vaudreuil,3607696237
Pointe-des-Cascades,3607696238
Vaudreuil-Dorion,3607696239
Vaudreuil-sur-le-Lac,3607696240
L'Île-Cadieux,3607696241
Les Cèdres,3607696242
Hudson,3607696243
Saint-Clet,3607696244
Saint-Lazare,3607696245
Coteau-du-Lac,3607696246
Saint-Zotique,3607696247
Les Coteaux,3607696248
Rivière-Beaudette,3607696249
Saint-Télesphore,3607696250
Saint-Polycarpe,3607696251
Sainte-Justine-de-Newton,3607696252
Très-Saint-Rédempteur,3607696253
Sainte-Marthe,3607696254
Rigaud,3607696255
Pointe-Fortune,3607696256
Mille-Isles,3607697269
Gore,3607697270
Lachute,3607697271
Saint-André-d'Argenteuil,3607697272
Wentworth,3607697273
Brownsburg-Chatham,3607697274
Harrington,3607697275
Grenville-sur-la-Rouge,3607697276
Grenville,3607697277
Piedmont,3607697462
Estérel,3607697463
Sainte-Marguerite-du-Lac-Masson,3607697464
