population,COD_GEO_N
982,79065
399,87075
1237,84015
1615,42110
3061,15035
647,03010
505,87110
9008,44037
407,87075
979,50100
1551,42110
611,03010
8907,44037
671,95050
3191,44071
10174,59035
9406,59035
5523,41038
5447,41038
7627,71040
7413,71040
792,98015
796,98015
35419,66058
35117,66058
811,30090
781,30090
16272,46080
15057,46080
4267,61013
4104,61013
3884,40047
3889,40047
8468,67025
2386,39152
475,83005
2848,13005
1000,93005
1877,83070
907,38070
8258,67025
2317,34058
485,83005
18394,72010
1002,93005
1151,31020
883,38070
760,44023
2257,34058
13934,92022
18022,72010
49908,66142
2379,31015
7663,34025
1141,31020
19993,66087
710,44023
997,33040
14024,92022
81551,49058
50302,66142
1873,41117
7563,34025
502,80135
19907,66087
891,85030
974,33040
395,69075
79153,49058
3606,46050
1822,41117
727,87005
469,80135
927,87085
887,85030
1121,49015
378,69075
2232,31122
3609,46050
622,46085
711,87005
288,44010
904,87085
2363,45093
1076,49015
498,83075
3868,41060
1009,50100
2223,31122
3710,66112
568,46085
3712,66112
274,44010
79,98035
2156,45093
78,98035
497,83075
163,15065
413,69050
164,15065
967,62053
7600,16013
521,06025
7852,16013
325,10005
426,96005
231,77011
409,96005
10036,46112
82,78050
459,80005
84,78050
575,94220
557,44045
2727,79097
574,44045
2439,97035
1936,88022
2912,95045
1914,88022
1363,84060
1028,37210
661,38047
1049,37210
2224,22010
19290,66107
1313,26005
1680,69010
302,96015
1178,46010
491,50065
1758,30025
3009,76052
311,85055
405,98014
486,87020
478,01042
15182,03005
403,08015
290283,81017
311,85095
994,92055
862,39010
258,96010
192,41075
1446,69060
7372,66062
2069,76025
245,40005
1045,99060
925,76065
2518,83032
781,45043
69265,47017
2305,45055
3423,02015
749,69005
446,35040
3396,98040
1051,03020
2656,93020
212,09060
1366,93025
1158,83095
2138,68015
490,50065
1508,56042
1783,76055
1409,35035
2834,76052
2303,69045
412,98014
887,19070
470,01042
608,05025
380,08015
397,05020
323,85095
839,69025
884,39010
901,78065
188,41075
5614,71100
7472,66062
2700,69055
233,40005
948,32058
860,76065
889,31040
709,45043
366,78042
2267,45055
22098,61025
805,69005
627,14050
3380,98040
822,79025
2566,93020
143,42070
1311,93025
1976,39097
795,68010
393,31105
2002,68015
461,85010
1477,56042
19390,66107
1332,35035
777,85020
2184,69045
772,85020
907,19070
6285,27028
589,05025
6283,27028
389,05020
14745,70022
825,69025
15156,70022
886,78065
948,31008
5419,71100
945,31008
2545,69055
3096,19105
906,32058
3135,19105
891,31040
4194,21025
359,78042
4256,21025
21571,61025
14555,38010
612,14050
2733,46035
976,83015
704,46040
795,79025
895,94250
141,42070
222,89050
1932,39097
377,31105
460,85010
20046,66102
600,90017
1431,78115
1524,78115
757,88030
815,88030
1383,91050
1371,91050
796,19090
829,19090
1774,29030
1781,29030
1111,79047
1153,79047
8264,15013
8387,15013
210,04030
208,04030
1294,78130
1335,78130
492,88045
447,88045
813,41027
789,41027
8640,82035
8315,82035
3905,14085
4024,14085
26460,67015
26474,67015
2595,54035
2547,54035
430,09005
428,09005
340,87080
340,87080
245,10010
7277,87090
10929,90012
227,10010
678,52050
10905,90012
336,50085
643,52050
2537,78120
332,50085
1348,93055
2479,78120
1414,07057
1346,93055
1346,35010
1400,07057
8372,22040
1294,35010
1169,91005
8098,22040
6085,46075
1171,91005
746,22030
5639,46075
505,13060
719,22030
3025,79078
509,13060
499,80130
2829,79078
159,77055
444,80130
550,79015
144,77055
184,90027
1054,30080
3959,28053
498,79015
190,18010
199,90027
14794,76020
3867,28053
5646,30030
182,18010
2742,56023
13653,76020
149,29095
5568,30030
476,79060
2730,56023
2974,93030
145,29095
1173,85045
490,79060
546,14010
2895,93030
27147,58037
1124,85045
7162,63055
519,14010
572,40025
26982,58037
751,28070
6629,63055
916,50030
554,40025
642,50035
715,28070
6051,55023
1437,34078
15437,61035
886,50030
292,85065
616,50035
4540,21035
5945,55023
14683,61035
2566,19097
207,88015
600,83020
259,22015
486,79105
526,34120
991,80095
1942,78095
47,78127
556,85070
543,79105
471,93060
549,34120
1628,30095
1079,80095
16723,23057
1953,78095
900,88035
60,78127
3875,21040
559,85070
6067,82005
509,93060
5239,52017
1695,30095
1235,94210
16777,23057
892,78015
931,88035
1643,94265
3993,21040
845,79050
6574,82005
2027,93065
5458,52017
155,06060
1285,94210
23623,60028
970,78015
288,85060
1676,94265
217,88080
906,79050
2601,33060
2152,93065
1335,32072
24202,60028
441929,65005
305,85060
14495,52007
215,88080
1387,49025
2738,33060
943,85052
1356,32072
644,42045
446369,65005
2085,99005
15578,52007
479,33123
1449,49025
941,49020
969,85052
258,13050
627,42045
300,38020
2114,99005
8920,60037
484,33123
2361,67055
979,49020
641,95018
254,13050
7162,71050
299,38020
5593,71033
652,95018
1376,16048
7195,71050
1849,95025
5880,71033
471,09015
1463,16048
12320,01023
1815,95025
952,08005
458,09015
149564,25213
12711,01023
128,71095
973,08005
196,98020
154091,25213
5,66092
128,71095
635,84035
203,98020
11455,71060
5,66092
454,41085
660,84035
1319,84082
11547,71060
1084,16023
459,41085
3791,17078
25149,57040
1313,12043
535,88070
454,84040
8825,82025
434,80055
902,80103
894,80060
5478,62047
901,39030
7321,99025
423,98045
956,95032
958,95032
253629,58227
252226,58227
9715,73025
9635,73025
1221,85037
1220,85037
830,33115
802,33115
7272,51015
7158,51015
1056,83010
1030,83010
1662,32065
1592,32065
2688,87058
2721,87058
434,39165
436,39165
28300,45072
27576,45072
3356,89015
3233,89015
2400,52095
2286,52095
3854,83065
3814,83065
836,38028
817,38028
2358,84065
2363,84065
2673,06005
2653,06005
432,42065
423,42065
266,04025
11249,55048
776,30035
272,04025
460,44060
726,30035
53009,64015
440,44060
2411,51008
50455,64015
550,53010
2333,51008
1305,99015
528,53010
14000,08053
1374,99015
618,06045
14178,08053
627,80065
608,06045
5894,57025
632,80065
1140,42075
5992,57025
15239,67045
1087,42075
1711,83060
14675,67045
3955,93012
1653,83060
574,09048
3904,93012
1787,76030
562,09048
64032,74005
316,30040
204,85075
1696,76030
642,78055
59612,74005
1146,14005
188,85075
673,83088
628,78055
1031,80010
1137,14005
6357,09077
631,83088
14562,79088
977,80010
11063,18050
6242,09077
1098,80090
14243,79088
1800055,66023
11031,18050
4456,66007
1055,80090
5389,66047
1825208,66023
21439,66072
4094,66007
3296,56097
5300,66047
615,79110
21844,66072
170,04015
3269,56097
11121,78102
19183,57035
4906,77050
597,79110
387,80085
159,04015
1806,18065
10510,78102
4545,77050
378,80085
607,03025
595,80110
1273,56010
1434,30045
4137,68030
274,98025
342,85100
4515,34007
1404,05040
3767,05070
747,41037
8472,50072
2116,79030
3302,44071
3029,92040
777,87115
682,45050
754,19010
299,80015
415,39015
973,62055
4518,52035
679,80020
819,82010
11366,71065
618,80110
183,92060
1470,30045
744,32080
4193,68030
2969,61045
275,98025
765,35005
364,85100
785,79010
4669,34007
311,23015
1436,05040
1000,30010
3873,05070
800,15025
750,41037
1049,11045
8510,50072
1761,29120
2185,79030
9496,61030
3050,92040
36,12045
754,87115
673,46100
690,45050
1635,49075
757,19010
1008,49080
317,80015
1604,79005
420,39015
6091,37235
1057,62055
1011,85090
11693,71065
1192,12080
362,48005
379,18040
425,13055
879,33085
61617,73015
1686,06020
1080,98005
1492,56015
710,83045
742,45020
410,80115
5988,72032
29530,73005
4815,45115
9015,21045
3818,69037
10706,73030
929,84055
418,83085
8395,57030
1276,45095
598,13015
776,46065
251,09040
2758,05045
1387,87025
675,98010
2150,80037
657,42040
516,38055
41840,58033
3120,05032
752,83050
3038,02005
714,80145
511,92010
1181,56010
862,16005
1432,84015
3083,15035
479,87110
360,87075
1639,42110
624,03010
8893,44037
618,95050
3320,44071
10194,59035
5468,41038
7681,71040
790,98015
37833,66058
16434,46080
4210,61013
168,03015
2413,39152
609,94205
3330,77030
2890,13005
2143,50113
516,46025
1931,83070
15109,71070
351,30020
1128,80045
6642,32040
2646,32045
2469,13095
1371,06030
1297,96030
6447,72020
33714,66097
1758,71055
584,71140
1862,96025
5986,82030
9971,34017
204,84020
6544,97022
2237,02047
3280,34048
604,95040
1883,45030
687,87035
926,88090
13670,75040
1754,09065
6356,32033
549937,23027
1394,42032
1294,96040
350,87010
154,84100
11748,62037
397,69050
272,85105
86419,60013
1022,62053
5501,55057
3267,42098
566,06025
8104,71133
49733,10043
321,10005
1682,80078
161,06035
232,77011
128,04020
557,34135
10889,46112
255,98055
2469,71005
9888,91025
1211,13025
409,87015
20050,12072
999,78075
419,94215
2361,46090
1503,89010
1155,84005
956,14065
355,46070
4467,79037
339,46070
215,98050
12230,46078
9874,91025
97292,58007
8146,76043
410,87015
663,84025
2422,39152
2913,13005
1955,83070
8557,67025
559,83005
1008,93005
938,38070
2269,34058
18347,72010
2362,31015
129,88010
1186,31020
821,44023
13717,92022
50171,66142
7653,34025
20382,66087
82790,49058
1777,41117
536,80135
941,85030
384,69075
3612,46050
735,87005
962,87085
1055,49015
3969,41060
2279,31122
682,46085
306,44010
2499,45093
1224,99060
520,83075
1045,62053
628,06025
324,10005
292,77011
10848,46112
14129,73020
483,80005
2829,55037
43097,86042
43182,86042
1160,48015
1115,48015
1394,48010
1340,48010
4580,47047
4195,47047
1770,95010
1769,95010
549,31130
539,31130
147952,94068
147361,94068
495,17015
489,17015
514,08030
497,08030
990,35015
956,35015
3880,77065
3661,77065
566,40010
538,40010
403,31095
412,31095
4605,33045
4463,33045
480,53015
461,53015
1113,15030
1103,15030
835,79022
778,79022
1224,34097
1191,34097
2673,56055
1715,39085
2339,14035
2609,56055
281,07065
2268,14035
1453,63023
279,07065
493,06050
1382,63023
3063,51065
490,06050
545,27015
2931,51065
730,05065
525,27015
3423,47010
702,05065
3451,62025
3314,47010
13587,59015
3280,62025
4108,94255
13145,59015
4329,61040
3954,94255
3010,10030
4072,61040
4029,80027
3045,10030
3029,76008
3799,80027
151,06040
2964,76008
499,91010
689,14040
2817,69070
159,06040
4308,19062
473,91010
1729,33095
2733,69070
1844,57075
4035,19062
4339,12015
140,18070
8116,33090
1655,33095
1261,46017
1760,57075
1250,12065
4233,12015
318,13100
7442,33090
1456,17055
1231,46017
358,92005
1267,12065
668,98012
306,13100
20213,23072
1468,17055
1191,51025
346,92005
906,54105
675,98012
2146,52055
19618,23072
2730,34038
681,30005
1270,41070
1190,51025
1882,12057
863,54105
2069,52055
2702,34038
17371,57020
1041,28025
644,94220
28,45080
1619,29100
2792,79097
2538,26055
1606,68005
2354,97035
594,54115
2101,56065
2839,95045
1044,49125
5096,51085
1306,84060
191,11025
3553,68050
643,38047
1808,19110
2418,62085
2323,22010
1043,13065
1166,12020
1366,26005
551,07095
1841,37240
1844,69010
1126,33030
1047,10015
287,96015
2062,93045
880,48050
1297,46010
357,19015
741,19045
1786,30025
405,07100
1051,52070
332,85055
1217,39043
518,09055
472,87020
1384,27035
276,17005
15260,03005
521,14080
27,45080
1710,53032
1680,29100
1558,14070
2700,26055
2337,17010
1690,68005
3455,14018
612,54115
1050,33025
2154,56065
2323,68025
1047,49125
6477,61005
5278,51085
2928,55015
197,11025
308,12035
798,18030
2165,56035
1594,51060
783,18030
719,19005
1545,51060
348,29065
705,19005
7972,67010
358,29065
800,14060
7318,67010
5918,54008
805,14060
463,49130
5729,54008
295,61020
459,49130
573,32050
301,61020
940,31135
529,32050
119,13075
892,31135
917,18055
117,13075
2009,20025
913,18055
1126,38065
1985,20025
1784,72043
1122,38065
2564,71020
1746,72043
2817,91035
2468,71020
3676,28020
2755,91035
530,59030
3564,28020
696,94220
2785,79097
2181,97035
2842,95045
1251,84060
677,38047
2421,22010
1382,26005
294,96015
1266,46010
1839,30025
336,85055
480,87020
799,94260
249,09010
223,09010
1821,57057
1788,57057
2841,69017
3085,39060
1203,42100
2692,69017
471,11005
1186,42100
333,07090
468,11005
249,52075
331,07090
1898,71045
224,52075
18443,75005
1826,71045
2600,62065
17597,75005
3343,29057
2358,62065
31000,67035
3245,29057
1929,52062
29915,67035
1101,12005
1840,52062
505,28040
1069,12005
2101,68035
498,28040
761,17045
2065,68035
358,07105
731,17045
2574,54017
4907,49070
548,17040
355,07105
2238,62075
2560,54017
1805,19030
523,17040
914,53005
2190,62075
2957,94245
1864,19030
516,14055
861,53005
4852,42025
2883,94245
2422,57068
515,14055
725,52090
4514,42025
2783,54060
2384,57068
440,88065
686,52090
886,09030
2677,54060
4469,62060
427,88065
14856,77022
846,09030
11537,78032
4159,62060
1002,09035
13893,77022
1785,55030
1149,33017
617,51055
11045,78032
2989,21030
957,09035
5026,66117
1773,55030
2081,37205
613,51055
1571,14090
2864,21030
611,42050
5048,66117
2212,56060
2063,37205
3974,77035
1591,14090
6359,04037
617,42050
2795,53065
2151,56060
15905,73035
3787,77035
572,79115
6309,04037
535,18025
2800,53065
1724,69065
15425,73035
2363,62020
564,79115
1492,56105
532,18025
8595,22045
860,28015
784,49085
1460,69065
709,84030
2194,62020
24445,67020
1439,56105
8173,22045
730,49085
17403,67030
292281,81017
2637,45060
8277,22005
987,92055
367,38060
2232,47055
262,96010
850,30050
734,48020
1557,69060
598,34105
3510,19055
2277,76025
2466,68020
587,31060
2618,83032
1619,39117
2546,33102
70823,47017
767,49100
378,92050
8769,22005
1354,68045
385,38060
626,85015
2298,47055
1216,33080
905,30050
712,51050
767,48020
530,44055
670,34105
1472,52030
3641,19055
379,39090
2809,68020
1703,62070
597,31060
979,50005
1644,39117
330,18035
2647,33102
948,20010
781,49100
1098,08023
373,92050
364,17025
1402,68045
870,09085
659,85015
371,07010
1233,33080
389,11030
741,51050
447,38035
544,44055
1011,37215
392,39090
2348,52040
1771,62070
973,87030
1007,50005
788,88085
345,18035
877,91030
921,20010
1675,54095
1144,08023
388,39035
368,17025
898,14025
839,09085
385,87070
361,07010
1390,26040
397,11030
323,07040
457,38035
284,09020
1076,37215
1059,92015
2369,52040
30391,59010
994,87030
11086,63060
776,88085
1809,28045
900,91030
964,71115
413,39035
1881,51075
891,14025
286,11035
371,87070
682,17060
1452,26040
353,46005
7833,48028
3008,31056
345,46005
228,98030
2236,92030
228,07025
179,84050
30894,93042
1563,78070
12651,88055
6145,07047
2908,55008
1499,19037
555,78060
3365,41055
448,50013
448,13045
771,30055
797,83090
1718,45085
267,87050
295,87100
1183,45035
20823,96020
618,08080
974,50100
3962,66112
87,98035
188,15065
7227,16013
393,96005
57,78050
574,44045
2008,88022
959,37210
20124,66107
672,85020
6296,27028
13881,70022
1021,31008
3115,19105
3924,21025
14179,38010
2652,46035
723,46040
866,94250
217,89050
299,85065
24672,57040
510,88070
1728,18065
4341,52035
329,48005
448,13055
62245,73015
1103,98005
670,83045
362,80115
27853,73005
8652,21045
10368,73030
407,83085
1146,45095
660,46065
2745,05045
670,98010
657,42040
42551,58033
672,83050
697,80145
1035,78075
2352,46090
1040,84005
299,46070
11279,46078
90787,58007
7607,76043
692,84025
1196,41070
1863,12057
552,59030
732,84030
23113,67020
11432,82020
2388,04047
2011,05060
3084,18045
3559,34030
11743,57010
4141,06013
768,05077
2248,07018
840,83040
31450,57005
1781,91020
1949,37220
132,88005
7423,02028
