nom,id,nom
Westmount,3600197561,westmount
Dorval,3600197562,dorval
Mont-Royal,3600197567,montroyal
Hampstead,3600197569,hampstead
Pointe-Claire,3600197576,pointeclaire
Kirkland,3600197577,kirkland
Beaconsfield,3600197578,beaconsfield
Baie-D'Urfé,3600197579,baiedurfe
Sainte-Anne-de-Bellevue,3600197580,sainteannedebellevue
Senneville,3600197583,senneville
Dollard-des-Ormeaux,3600197601,dollarddesormeaux
Laval,3601438336,laval
Nominingue,3601490833,nominingue
Notre-Dame-du-Laus,3601490834,notredamedulaus
Lac-Bazinet,3601490835,lacbazinet
Lac-Ernest,3601490836,lacernest
Mont-Laurier,3601490837,montlaurier
Lac-Douaire,3601490838,lacdouaire
Rivière-Rouge,3601490839,riviererouge
Lac-Marguerite,3601490840,lacmarguerite
Lac-de-la-Maison-de-Pierre,3601490841,lacdelamaisondepierre
Notre-Dame-de-Pontmain,3601490843,notredamedepontmain
Lac-de-la-Pomme,3601490844,lacdelapomme
Ferme-Neuve,3601490845,fermeneuve
Baie-des-Chaloupes,3601490846,baiedeschaloupes
Lac-Oscar,3601490847,lacoscar
Lac-De La Bidière,3601490848,lacdelabidiere
La Macaza,3601490849,lamacaza
Lac-Akonapwehikan,3601490858,lacakonapwehikan
Noyan,3601600477,noyan
Saint-Armand,3601600478,saintarmand
Saint-Blaise-sur-Richelieu,3601600479,saintblaisesurrichelieu
Venise-en-Québec,3601600480,veniseenquebec
Henryville,3601600481,henryville
Saint-Paul-de-l'Île-aux-Noix,3601600482,saintpauldelileauxnoix
Lacolle,3601600483,lacolle
Saint-Jean-sur-Richelieu,3601600484,saintjeansurrichelieu
Sainte-Anne-de-Sabrevois,3601600485,sainteannedesabrevois
Clarenceville,3601600486,clarenceville
Montréal,3601634158,montreal
Montréal-Est,3601634159,montrealest
Québec,3602319206,quebec
Deux-Montagnes,3602798489,deuxmontagnes
Brossard,3602812764,brossard
L'Île-Dorval,3603421685,liledorval
Gatineau,3605356213,gatineau
Côte-Saint-Luc,3605361655,cotesaintluc
Sherbrooke,3605915931,sherbrooke
Oka,3606451177,oka
Paroisse Sainte-Gertrude,3606854299,paroissesaintegertrude
Longueuil,3606948543,longueuil
Boucherville,3606948557,boucherville
